IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
2,40.78800000000015,35.32345318910807,31.059703571987022,122.0,137.0,151.0,60.0
4,20.78799999999994,18.00294069077115,30.540088208651223,120.0,139.0,150.0,60.0
3,30.801133333333272,26.67457074314676,30.80023710440771,114.0,137.0,153.0,61.0
1,50.80113333333349,43.995083241483684,31.31985246774351,103.0,139.0,151.0,61.0
4,20.801133333333272,18.01431449397839,30.540429422739813,120.0,139.0,150.0,61.0
2,40.80113333333349,35.334826992315314,31.06004478607561,122.0,137.0,151.0,61.0
2,40.814266666666825,35.346200795522556,31.0603860001642,122.0,137.0,151.0,62.0
4,20.814266666666605,18.02568829718563,30.5407706368284,120.0,139.0,150.0,62.0
1,50.814266666666825,44.006457044690926,31.320193681832098,103.0,139.0,151.0,62.0
3,30.814266666666605,26.685944546353998,30.8005783184963,114.0,137.0,153.0,62.0
1,50.82740000000016,44.01783084789817,31.32053489592069,103.0,139.0,151.0,63.0
2,40.82740000000016,35.3575745987298,31.060727214252793,122.0,137.0,151.0,63.0
3,30.827399999999937,26.69731834956124,30.80091953258489,114.0,137.0,153.0,63.0
4,20.827399999999937,18.03706210039287,30.541111850916995,120.0,139.0,150.0,63.0
2,40.8405333333335,35.36894840193705,31.061068428341382,122.0,137.0,151.0,64.0
3,30.84053333333327,26.708692152768478,30.80126074667348,114.0,137.0,153.0,64.0
1,50.8405333333335,44.02920465110541,31.32087611000928,103.0,139.0,151.0,64.0
4,20.84053333333327,18.04843590360011,30.541453065005584,120.0,139.0,150.0,64.0
3,30.8536666666666,26.72006595597572,30.80160196076207,114.0,137.0,153.0,65.0
4,20.8536666666666,18.059809706807354,30.541794279094173,120.0,139.0,150.0,65.0
2,40.85366666666683,35.38032220514429,31.061409642429975,122.0,137.0,151.0,65.0
1,50.85366666666683,44.04057845431265,31.32121732409787,103.0,139.0,151.0,65.0
2,40.86680000000017,35.39169600835153,31.061750856518564,122.0,137.0,151.0,66.0
1,50.86680000000017,44.0519522575199,31.321558538186462,103.0,139.0,151.0,66.0
4,20.866799999999934,18.071183510014592,30.542135493182766,120.0,139.0,150.0,66.0
3,30.866799999999934,26.73143975918296,30.801943174850663,114.0,137.0,153.0,66.0
1,50.879933333333504,44.06332606072714,31.32189975227505,103.0,139.0,151.0,67.0
3,30.879933333333266,26.7428135623902,30.802284388939253,114.0,137.0,153.0,67.0
4,20.879933333333266,18.082557313221834,30.542476707271355,120.0,139.0,150.0,67.0
2,40.879933333333504,35.40306981155877,31.062092070607154,122.0,137.0,151.0,67.0
1,50.89306666666684,44.074699863934384,31.322240966363644,103.0,139.0,151.0,68.0
2,40.89306666666684,35.414443614766014,31.062433284695746,122.0,137.0,151.0,68.0
4,20.8930666666666,18.093931116429072,30.542817921359944,120.0,139.0,150.0,68.0
3,30.8930666666666,26.754187365597442,30.802625603027842,114.0,137.0,153.0,68.0
3,30.90619999999993,26.76556116880468,30.802966817116435,114.0,137.0,153.0,69.0
1,50.906200000000176,44.086073667141626,31.322582180452233,103.0,139.0,151.0,69.0
4,20.90619999999993,18.105304919636314,30.543159135448537,120.0,139.0,150.0,69.0
2,40.906200000000176,35.42581741797326,31.062774498784336,122.0,137.0,151.0,69.0
1,50.91933333333351,44.09744747034887,31.322923394540823,103.0,139.0,151.0,70.0
4,20.919333333333263,18.116678722843552,30.543500349537126,120.0,139.0,150.0,70.0
3,30.919333333333263,26.776934972011922,30.803308031205024,114.0,137.0,153.0,70.0
2,40.91933333333351,35.437191221180505,31.06311571287293,122.0,137.0,151.0,70.0
3,30.932466666666596,26.78830877521916,30.803649245293613,114.0,137.0,153.0,71.0
4,20.932466666666596,18.128052526050794,30.54384156362572,120.0,139.0,150.0,71.0
1,50.93246666666685,44.10882127355612,31.323264608629415,103.0,139.0,151.0,71.0
2,40.93246666666685,35.44856502438775,31.063456926961518,122.0,137.0,151.0,71.0
4,20.945599999999928,18.139426329258033,30.54418277771431,120.0,139.0,150.0,72.0
2,40.945600000000184,35.45993882759499,31.063798141050107,122.0,137.0,151.0,72.0
3,30.945599999999928,26.799682578426403,30.803990459382206,114.0,137.0,153.0,72.0
1,50.945600000000184,44.12019507676336,31.323605822718005,103.0,139.0,151.0,72.0
1,50.95873333333352,44.1315688799706,31.323947036806594,103.0,139.0,151.0,73.0
4,20.95873333333326,18.150800132465275,30.544523991802897,120.0,139.0,150.0,73.0
3,30.95873333333326,26.81105638163364,30.804331673470795,114.0,137.0,153.0,73.0
2,40.95873333333352,35.47131263080223,31.0641393551387,122.0,137.0,151.0,73.0
1,50.971866666666855,44.14294268317784,31.324288250895187,103.0,139.0,151.0,74.0
3,30.971866666666592,26.822430184840883,30.804672887559384,114.0,137.0,153.0,74.0
4,20.971866666666592,18.162173935672513,30.54486520589149,120.0,139.0,150.0,74.0
2,40.971866666666855,35.48268643400948,31.06448056922729,122.0,137.0,151.0,74.0
3,30.984999999999925,26.83380398804812,30.805014101647977,114.0,137.0,153.0,75.0
2,40.98500000000019,35.49406023721672,31.064821783315878,122.0,137.0,151.0,75.0
4,20.984999999999925,18.173547738879755,30.54520641998008,120.0,139.0,150.0,75.0
1,50.98500000000019,44.154316486385085,31.324629464983776,103.0,139.0,151.0,75.0
3,30.998133333333257,26.845177791255363,30.805355315736566,114.0,137.0,153.0,76.0
1,50.99813333333353,44.165690289592334,31.324970679072365,103.0,139.0,151.0,76.0
4,20.998133333333257,18.184921542086993,30.54554763406867,120.0,139.0,150.0,76.0
2,40.99813333333353,35.505434040423964,31.06516299740447,122.0,137.0,151.0,76.0
4,21.01126666666659,18.196295345294235,30.54588884815726,120.0,139.0,150.0,77.0
1,51.01126666666686,44.177064092799576,31.325311893160958,103.0,139.0,151.0,77.0
2,41.01126666666686,35.516807843631206,31.06550421149306,122.0,137.0,151.0,77.0
3,31.01126666666659,26.8565515944626,30.805696529825155,114.0,137.0,153.0,77.0
2,41.0244000000002,35.52818164683845,31.06584542558165,122.0,137.0,151.0,78.0
1,51.0244000000002,44.18843789600682,31.325653107249547,103.0,139.0,151.0,78.0
4,21.024399999999922,18.207669148501473,30.54623006224585,120.0,139.0,150.0,78.0
3,31.024399999999922,26.867925397669843,30.80603774391375,114.0,137.0,153.0,78.0
2,41.037533333333535,35.5395554500457,31.066186639670242,122.0,137.0,151.0,79.0
1,51.037533333333535,44.19981169921406,31.32599432133814,103.0,139.0,151.0,79.0
3,31.037533333333254,26.87929920087708,30.806378958002337,114.0,137.0,153.0,79.0
4,21.037533333333254,18.219042951708715,30.54657127633444,120.0,139.0,150.0,79.0
2,41.05066666666687,35.55092925325294,31.06652785375883,122.0,137.0,151.0,80.0
1,51.05066666666687,44.2111855024213,31.32633553542673,103.0,139.0,151.0,80.0
4,21.050666666666586,18.230416754915957,30.546912490423033,120.0,139.0,150.0,80.0
3,31.050666666666586,26.890673004084324,30.806720172090927,114.0,137.0,153.0,80.0
2,41.06380000000021,35.56230305646018,31.066869067847424,122.0,137.0,151.0,81.0
4,21.06379999999992,18.241790558123196,30.547253704511622,120.0,139.0,150.0,81.0
1,51.06380000000021,44.22255930562855,31.326676749515318,103.0,139.0,151.0,81.0
3,31.06379999999992,26.902046807291562,30.80706138617952,114.0,137.0,153.0,81.0
3,31.07693333333325,26.913420610498804,30.80740260026811,114.0,137.0,153.0,82.0
2,41.07693333333354,35.57367685966742,31.067210281936013,122.0,137.0,151.0,82.0
